Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
000-176-277-602-338,"AI Agents vs. Agentic AI: A Conceptual taxonomy, applications and challenges",,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,Ranjan Sapkota; Konstantinos I. Roumeliotis; Manoj Karkee,,126,,103599,103599,Taxonomy (biology); Computer science; Data science; Cognitive science; Artificial intelligence; Psychology; Ecology; Biology,,,,National Institute of Food and Agriculture; National Institute of Food and Agriculture; National Institute of Food and Agriculture; National Science Foundation; Hellenic Academic Libraries Link; U.S. Department of Agriculture; U.S. Department of Agriculture,https://arxiv.org/pdf/2505.10468 http://arxiv.org/abs/2505.10468,http://dx.doi.org/10.1016/j.inffus.2025.103599,,10.1016/j.inffus.2025.103599,,,0,003-553-531-095-395; 004-033-437-781-038; 008-631-934-209-329; 008-708-960-845-751; 011-348-217-366-422; 012-357-674-064-789; 014-633-867-002-50X; 017-316-788-587-554; 019-525-522-930-101; 021-633-959-946-958; 023-975-290-111-440; 024-800-443-292-177; 024-848-734-369-691; 027-659-287-028-639; 028-447-079-537-166; 032-080-052-866-054; 032-273-287-704-771; 033-191-662-529-23X; 034-580-360-663-981; 035-942-945-695-913; 035-995-267-350-017; 041-199-195-190-762; 043-705-858-081-674; 043-950-173-230-082; 045-406-566-333-844; 046-319-730-077-311; 050-377-396-142-631; 053-160-066-482-512; 055-329-455-097-603; 058-052-680-492-669; 060-686-914-855-175; 067-619-226-224-18X; 067-955-700-219-381; 071-829-523-515-450; 071-837-229-580-403; 074-266-746-254-983; 075-040-808-866-665; 077-138-343-216-184; 079-425-923-649-79X; 082-857-993-905-83X; 084-373-571-550-196; 091-015-609-038-192; 092-367-261-708-487; 094-163-393-057-653; 098-049-779-991-410; 099-478-914-260-162; 103-548-137-131-924; 104-643-583-118-772; 104-790-480-828-915; 105-205-687-747-975; 109-634-322-181-447; 111-917-999-900-775; 113-452-270-137-539; 120-490-362-609-610; 125-749-298-478-389; 126-263-293-872-404; 126-386-227-784-721; 128-257-686-650-652; 129-585-213-085-533; 129-664-071-272-477; 135-023-357-407-880; 136-898-735-271-465; 137-702-331-262-06X; 139-035-590-326-44X; 139-920-125-773-836; 143-802-366-687-450; 154-899-985-310-030; 157-696-653-996-872; 158-185-138-119-447; 160-092-268-972-816; 160-100-371-028-142; 161-331-597-081-397; 161-657-756-157-222; 164-022-279-909-697; 164-323-002-101-504; 165-181-450-509-613; 170-238-351-505-508; 173-390-863-772-955; 176-164-368-623-235; 178-009-930-794-107; 182-449-697-009-283; 184-588-003-183-15X; 188-820-635-227-578; 189-285-036-363-791; 189-593-832-499-707; 192-177-683-592-654; 198-643-967-520-082,52,true,cc-by,hybrid
000-549-915-673-00X,Enhancing the hypatia simulator for LEO satellite networks with integrated DoS and DDoS attack capabilities,2026-01-09,2026,journal article,International Journal of Information Security,16155262; 16155270,Springer Science and Business Media LLC,Germany,Pilar Manzanares-Lopez; Abel Lopez-Garcia; Maria Dolores Cano-Baños; Juan Pedro Muñoz-Gea; Josemaria Malgosa-Sanahuja,"<jats:title>Abstract</jats:title>;                   <jats:p>The increasing relevance of Low Earth Orbit (LEO) satellite constellations in next-generation communication systems highlights the importance of evaluating their security under realistic threat conditions.Hypatia provides a rich simulation environment for end-to-end LEO communications but lacks native support for modeling cyberattacks. This paper introduces an extension of Hypatia that enables the simulation of Denial of Service (DoS) and Distributed DoS (DDoS) attacksoriginating from ground stations in the Satellite-Terrestrial Integrated Network (STIN). The framework implements four representative attack types: a state-exhaustion attack (TCP SYN flood), two volumetric attacks (UDP and ICMP floods), and a low-rate pulsing attack (Shrew). Attack campaigns are defined through a scheduler file, allowing programmable and reproducible experiments with flexible control of attacker scale and timing. The framework’s effectiveness is demonstrated by analyzing the impact of these attacks on TCP performance across several LEO constellations (Starlink, Kuiper, and Telesat). This contribution provides a practical tool for evaluating mitigation strategies and serves as a methodological reference for integrating new attack models, laying the groundwork for future research on security challenges in LEO networks.</jats:p>",25,1,,,Denial-of-service attack; Computer science; Constellation; Communications satellite; Computer security; Internet Control Message Protocol; Satellite; Computer network; Security domain; Cloud computing; Telecommunications network; Network security; Satellite constellation; Server; Command and control; Service (business); Relevance (law); Distributed computing; Communications system; Intrusion detection system; Cryptography; Scale (ratio),,,,Universidad Politécnica de Cartagena,https://link.springer.com/content/pdf/10.1007/s10207-025-01191-0.pdf https://doi.org/10.1007/s10207-025-01191-0,http://dx.doi.org/10.1007/s10207-025-01191-0,,10.1007/s10207-025-01191-0,,,0,005-521-313-988-167; 008-337-136-957-608; 013-907-633-592-112; 018-381-603-833-593; 020-246-136-321-213; 022-664-691-987-924; 038-064-616-743-77X; 047-864-286-144-812; 059-708-318-465-735; 061-443-663-045-951; 066-188-182-864-506; 067-499-195-754-255; 136-126-876-674-532; 153-938-488-501-357; 162-259-244-470-621; 164-613-004-582-36X,1,true,cc-by,hybrid
000-835-078-432-723,A Dynamic Updating-Based RSSI Fingerprint Localization Algorithm Using TabNet and Transfer Learning,,2026,journal article,IEEE Internet of Things Journal,23274662; 23722541,Institute of Electrical and Electronics Engineers (IEEE),United States,Yiruo Lin; Kegen Yu; Jihong Dong; Chuangchi Hao; Yu Gao,"The widespread deployment of Internet of Things (IoT) applications relies on indoor positioning systems that are both accurate and sustainable. However, conventional RSSI fingerprinting methods suffer from signal fluctuations in dynamic environments and require costly manual updates to maintain long-term performance. To address these challenges, this paper proposes a dynamic indoor positioning framework that integrates TabNet and transfer learning (TL). A small number of reference points are first deployed, and an offline fingerprint database is efficiently constructed using pedestrian dead reckoning (PDR) and Kriging interpolation, significantly reducing manual effort. A TabNet-based localization model is then trained to learn the nonlinear RSSI–location mapping while mitigating signal instability. Moreover, a reliability evaluation mechanism is introduced to identify high-confidence online position estimates, which are incorporated via TL to continuously update the localization model without additional data collection. Experimental results demonstrate that the proposed method outperforms state-of-the-art localization approaches and maintains stable performance over time, with the root mean square error increase remaining below 0.2 m after 20 days.",,,1,1,Computer science; Fingerprint (computing); Reliability (semiconductor); Software deployment; Dead reckoning; Artificial intelligence; Real-time computing; Kriging; Data mining; Algorithm; Transfer of learning; Position (finance); Nonlinear system; SIGNAL (programming language); Fingerprint recognition; Mean squared error; Machine learning; Indoor positioning system; Transfer (computing); RSS; Computer vision; Key (lock); Positioning system; Signal strength; The Internet; Pattern recognition (psychology); Data modeling; Pedestrian; Received signal strength indication; Location awareness,,,,Fundamental Research Funds for the Central Universities; Postgraduate Research & Practice Innovation Program of Jiangsu Province; National Natural Science Foundation of China; Project Funded by the Priority Academic Program Development of Jiangsu Higher Education Institutions; Graduate Innovation Program of China University of Mining and Technology,,http://dx.doi.org/10.1109/jiot.2026.3657826,,10.1109/jiot.2026.3657826,,,0,,0,false,,
000-835-094-840-911,Finding software vulnerabilities in large C projects via bounded model checking,2026-02-20,2026,journal article,International Journal on Software Tools for Technology Transfer,14332779; 14332787,Springer Science and Business Media LLC,Germany,Janislley O. De Sousa; Bruno C. de Farias; Thales A. Da Silva; Norbert Tihanyi; Richard A. Dubniczky; Eddie B. L. Filho; Lucas C. Cordeiro,"<jats:title>Abstract</jats:title>;                   <jats:p>Bounded model checking (BMC) is a widely used technique for detecting security vulnerabilities and verifying the correctness of critical software components. While highly effective on small to medium-sized codebases, its application to large-scale software systems remains difficult due to scalability limitations. In this work, we present a practical methodology to enable the use of BMC in real-world, complex software projects. Our approach includes automated preprocessing of source code and a guided verification process that helps a model checker systematically explore a codebase. We also introduce a function-level prioritization mechanism that focuses verification efforts on the most critical code parts. We evaluated our method on popular open-source C projects, discovering security vulnerabilities that the respective developers confirmed. The results demonstrate that, with appropriate strategies, BMC can effectively scale to verify large software systems while maintaining low memory usage.</jats:p>",,,,,Computer science; Model checking; Correctness; Scalability; Software security assurance; Software; Software engineering; Programming language; Secure coding; Source code; Code (set theory); Software development; Preprocessor; Distributed computing; Process (computing); Software system; Software verification; Static program analysis; Formal methods; Sandbox (software development); Software development process; Formal verification; Software construction; Verification and validation; Malware; Software framework; Formal specification; Threat model,,,,Universidade Federal Do Amazonas,https://link.springer.com/content/pdf/10.1007/s10009-026-00838-0.pdf https://doi.org/10.1007/s10009-026-00838-0,http://dx.doi.org/10.1007/s10009-026-00838-0,,10.1007/s10009-026-00838-0,,,0,001-810-798-593-950; 002-502-004-470-337; 005-895-335-844-195; 006-973-501-171-203; 010-953-960-369-741; 012-110-195-681-38X; 017-218-896-397-046; 018-145-808-189-477; 021-547-104-247-78X; 023-908-465-472-273; 028-157-048-063-783; 029-565-964-036-667; 031-385-538-758-476; 032-345-859-743-38X; 032-705-013-377-191; 034-894-230-942-335; 036-654-563-446-241; 036-775-531-118-965; 037-937-818-189-774; 039-581-539-765-765; 048-087-157-527-879; 054-679-572-600-160; 054-810-230-659-059; 055-028-668-406-335; 056-997-433-567-694; 057-163-293-770-396; 057-638-719-642-25X; 058-534-021-688-248; 059-177-137-606-033; 061-101-143-062-90X; 061-185-496-914-62X; 061-246-332-989-760; 064-621-518-017-725; 066-941-796-423-817; 068-766-848-935-900; 069-913-099-781-329; 076-371-665-916-487; 078-376-934-744-480; 080-172-884-016-529; 082-361-822-754-716; 083-437-059-896-351; 086-729-094-645-738; 088-139-153-623-452; 091-586-832-817-69X; 093-206-724-513-758; 101-707-311-697-521; 103-381-267-964-164; 105-097-663-606-523; 105-995-114-863-265; 106-808-565-119-70X; 109-645-138-946-829; 110-642-592-706-093; 113-153-298-782-388; 114-785-457-223-578; 118-524-301-930-436; 123-726-363-432-367; 140-315-669-182-137; 141-424-328-222-048; 144-117-711-569-334; 150-393-873-232-96X; 150-454-058-757-66X; 170-478-113-946-714; 175-315-545-824-118; 176-360-028-020-815,0,true,cc-by,hybrid
000-915-688-466-55X,Dynamic sequential and non-sequential learning for predicting diaphragm wall deflection and ground subsidence in deep excavation of building construction,2026-01-21,2026,journal article,Advanced Engineering Informatics,14740346; 18735320,Elsevier BV,United Kingdom,Min-Yuan Cheng; Akhmad F.K. Khitam; Quoc-Tuan Vu; Yi-Fan Ying,,71,,104356,104356,Deflection (physics); Mean absolute percentage error; Engineering; Structural engineering; Excavation; Hyperparameter; Ground movement; Displacement (psychology); Deep learning; Ground subsidence; Residual; Artificial neural network; Deformation monitoring; Geotechnical engineering; Stochastic gradient descent; Finite element method; Approximation error; Rounding; Gradient descent; Artificial intelligence; Outlier; Computer science; Construction site safety; Deformation (meteorology); Diaphragm (acoustics); Limiting; Particle swarm optimization; Weibull distribution; Recurrent neural network,,,,,,http://dx.doi.org/10.1016/j.aei.2026.104356,,10.1016/j.aei.2026.104356,,,0,000-424-613-635-789; 004-662-043-083-474; 009-778-377-265-303; 013-248-493-587-349; 015-743-476-095-378; 016-472-528-655-328; 019-082-045-330-823; 020-513-813-711-213; 027-770-370-674-055; 031-283-963-546-389; 032-006-715-803-420; 034-394-640-772-964; 034-737-368-580-921; 036-008-803-351-588; 037-434-839-592-250; 041-625-275-668-809; 044-595-517-392-994; 047-027-389-481-944; 049-462-629-283-920; 051-201-863-136-415; 051-699-120-746-133; 055-866-867-148-255; 058-912-196-087-984; 059-151-530-969-046; 060-867-879-418-406; 063-894-040-570-210; 064-055-228-713-382; 069-435-732-902-445; 074-433-327-301-453; 076-782-974-618-850; 083-566-749-179-297; 083-893-793-832-191; 085-365-685-221-434; 098-149-666-789-759; 099-484-636-865-41X; 100-658-362-807-933; 107-797-710-025-44X; 117-506-654-340-372; 123-159-322-229-946; 124-299-614-814-064; 124-954-570-091-922; 125-156-888-004-470; 130-036-334-387-945; 132-525-934-351-487; 135-628-084-444-214; 136-079-006-621-745; 166-747-613-186-537; 167-223-005-464-766; 174-761-855-385-177; 174-867-707-473-859; 175-996-731-219-655; 177-732-599-462-589; 191-855-065-179-268; 194-690-592-642-919,0,false,,
000-958-877-015-272,Tell me what I want to hear: The effects of matching reviews on consumers' decision making,2026-02-01,2026,journal article,Information & Management,03787206; 18727530,Elsevier BV,Netherlands,Long The Nguyen; Zachary J. Sheffler,"Knowing online reviews are helpful for consumers’ decision-making, online shopping platforms often utilize review ranking algorithms to put “featured reviews” on top. This practice is supposed to help consumers navigate the vast quantity and varying quality of online reviews. However, it runs the risk of displaying reviews that do not match consumers’ shopping orientations – the preferences for certain product attributes. We investigate the consequences of this mismatch on consumers’ evaluation of review helpfulness and their downstream purchase decision quality. The research reveals the heterogeneous nature of online reviews by conducting topic modeling with an archival dataset. Next, we conduct experiments to examine the (mis)matching effects. We found that consumers see reviews matching their needs to be more helpful. They also make better shopping decisions. The benefit of matched reviews also holds across both positive and negative reviews. The paper offers theoretical contributions by highlighting the importance of matching reviews with consumers’ orientations and calling attention to the unintended consequences of review ranking practices on shopping platforms.",63,3,104324,104324,Helpfulness; Matching (statistics); Ranking (information retrieval); Quality (philosophy); Product (mathematics); Computer science; Data science; Unintended consequences; Marketing; Downgrade; Internet privacy; Advertising; World Wide Web; Topic model; Information retrieval; Recommender system; Downstream (manufacturing); Best practice; Decision support system; Knowledge management,,,,,,http://dx.doi.org/10.1016/j.im.2026.104324,,10.1016/j.im.2026.104324,,,0,000-850-719-726-103; 000-900-460-341-417; 000-974-850-592-846; 001-316-375-064-631; 001-362-295-287-090; 001-644-921-245-265; 001-764-832-413-980; 002-364-543-892-843; 004-083-345-540-056; 005-055-181-782-814; 005-720-988-563-206; 006-691-641-957-827; 012-660-148-869-36X; 015-742-357-797-452; 022-153-348-966-38X; 023-128-881-912-285; 024-390-172-208-279; 025-772-027-628-277; 026-244-585-676-692; 027-344-315-601-88X; 030-071-847-836-783; 032-365-485-746-081; 034-256-003-082-615; 036-279-983-706-191; 039-156-486-134-136; 039-541-221-548-916; 041-582-884-178-402; 044-466-621-976-577; 049-466-768-340-647; 049-701-853-116-444; 050-238-846-726-563; 051-408-165-800-866; 053-325-924-037-320; 055-427-718-501-161; 056-111-962-365-005; 056-158-207-586-873; 056-292-488-441-466; 056-996-257-844-335; 063-032-668-142-44X; 073-187-205-159-80X; 074-742-877-053-350; 075-022-897-285-707; 075-472-890-988-897; 078-106-229-576-047; 078-403-418-987-700; 078-765-996-173-571; 080-110-926-452-406; 082-804-315-740-918; 093-068-966-014-086; 095-753-218-335-691; 096-754-559-472-88X; 097-184-285-405-325; 097-344-612-655-306; 102-665-177-232-769; 103-481-679-240-101; 103-584-820-524-464; 106-339-531-106-426; 112-491-602-818-177; 112-863-171-230-201; 114-933-469-431-86X; 115-696-358-655-916; 116-090-328-111-619; 122-802-281-156-181; 124-026-018-514-715; 127-717-787-649-704; 136-932-925-508-909; 151-948-720-329-261; 157-840-143-714-656; 170-395-935-467-858; 171-267-465-149-846; 173-059-882-573-791; 178-347-732-094-080; 189-960-479-965-691; 190-582-902-636-626,0,true,cc-by,hybrid
001-124-294-147-316,"Human-Algorithm Collaboration in Gig Work: The Role of Experience, Skill Level, and Task Complexity",2026-02-09,2026,journal article,Information Systems Research,10477047; 15265536,Institute for Operations Research and the Management Sciences (INFORMS),United States,Benjamin Knight; Dmitry Mitrofanov; Serguei Netessine,"<jats:p>In this paper, we contribute to recent studies on human-algorithm collaboration by examining how experience, skill level, workload, and task complexity shape the impact of an algorithm-enabled decision-support tool for gig workers. We leverage a large-scale randomized field experiment on the Instacart platform from June 2022 to September 2022. The algorithm-enabled technology aims to revolutionize item picking by helping shoppers locate and collect items more efficiently, reducing picking time while maintaining service quality, as reflected by refund rates. We find that the technology complements experience: rather than diminishing the value of experience, it yields larger improvements for more experienced shoppers. We also find that it substitutes for skill levels by helping lower-skilled workers bridge the performance gap with higher-skilled peers, but lower-skilled workers need experience to fully benefit from the tool. Finally, treatment effects vary with workload and task complexity, clarifying when algorithmic guidance is most valuable. For policymakers, our findings suggest a simple rule: give workers some baseline experience before introducing AI tools, using a staggered rollout with basic training. We also show that these tools can make service more consistent by closing the gap between high performers and lower performers, reducing performance dispersion, and helping standardize quality.</jats:p>",,,,,Leverage (statistics); Workload; Task (project management); Bridge (graph theory); Computer science; Closing (real estate); Knowledge management; Service (business); Baseline (sea); Field (mathematics); Task analysis; Job design; Human–computer interaction; Value (mathematics); Service provider; Service worker; Service level; Process management; Key (lock); Data science,,,,,,http://dx.doi.org/10.1287/isre.2024.1664,,10.1287/isre.2024.1664,,,0,000-872-703-363-325; 001-330-509-439-891; 001-718-899-784-375; 004-354-297-930-966; 005-134-488-338-000; 005-900-309-621-653; 011-008-174-608-40X; 012-283-740-755-205; 020-247-962-545-950; 023-163-320-634-127; 023-171-016-653-34X; 023-407-894-960-341; 024-177-390-663-525; 024-223-059-119-495; 024-745-715-239-11X; 027-800-942-795-704; 031-695-585-410-644; 035-827-356-623-774; 035-904-574-179-014; 042-656-512-898-025; 043-645-561-487-487; 044-618-424-643-175; 047-035-077-377-777; 051-740-756-810-833; 056-151-692-277-238; 058-482-539-773-55X; 058-932-126-283-590; 059-267-959-761-285; 060-910-785-236-311; 066-157-244-355-976; 068-188-902-342-777; 072-740-252-932-732; 073-761-539-331-239; 074-316-126-216-997; 078-598-921-043-662; 085-223-406-927-183; 090-936-621-994-371; 097-717-704-909-157; 097-890-685-615-995; 099-238-143-235-942; 102-203-920-505-203; 108-140-615-733-798; 109-557-170-920-506; 119-774-956-603-59X; 123-281-023-496-955; 132-314-137-802-214; 139-188-660-265-521; 139-759-377-577-307; 140-253-108-943-230; 141-723-003-727-400; 148-222-575-442-573; 152-299-734-718-611; 156-018-437-162-356; 158-926-995-241-258; 185-320-913-226-98X,0,false,,
001-535-381-304-291,GeoCraft: A Diffusion Model-based 3D Reconstruction Method driven by image and point cloud fusion,2026-01-14,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,Weixuan Ma; Yamin Li; Chujin Liu; Hao Zhang; Jie Li; Kansong Chen; Weixuan Gao,,131,,104149,104149,Computer science; Point cloud; 3D reconstruction; Computer vision; Artificial intelligence; Octree; Feature (linguistics); Augmented reality; Focus (optics); Key (lock); Cloud computing; Point (geometry); Polygon mesh; Signed distance function; Pose; Rendering (computer graphics); Virtual reality; Projection (relational algebra); Computer graphics; Iterative reconstruction; 3D modeling; Face (sociological concept); Iterative closest point; Inference; Computer graphics (images); Solid modeling; Image fusion; Key frame; USable; 3d model; Offset (computer science); Frame (networking); Robustness (evolution); Surface reconstruction,,,,Hubei Provincial Department of Education; Hubei Provincial Department of Education; Natural Science Foundation of Hubei Province,,http://dx.doi.org/10.1016/j.inffus.2026.104149,,10.1016/j.inffus.2026.104149,,,0,000-146-062-529-252; 008-785-406-076-78X; 113-268-523-423-331; 125-274-670-792-125; 136-516-903-469-862; 144-510-315-813-244; 146-188-064-354-855; 173-386-580-789-552; 187-183-763-097-506,0,false,,
003-125-106-403-114,Tensor Low-Rank Orthogonal Compression for Convolutional Neural Networks,,2026,journal article,IEEE/CAA Journal of Automatica Sinica,23299266; 23299274,Institute of Electrical and Electronics Engineers (IEEE),United States,Yaping He; Xin Luo,"Dear Editor, The letter proposes a tensor low-rank orthogonal compression (TLOC) model for a convolutional neural network (CNN), which facilitates its efficient and highly-accurate low-rank representation. Model compression is crucial for deploying deep neural network (DNN) models on resource-constrained embedded devices. However, the typical approach based on prefine tuning is time-consuming, laborintensive and computationally expensive. Moreover, training a low-rank model from scratch presents significant challenges including substantial accuracy degradation and end-to-end training disruption. Motivated by these critical challenges, this letter presents the end-to-end TLOC model adopting the following three-fold ideas: 1) Utilizing the tucker-2 and truncated singular value decomposition (TSVD) decompositions to compress the weights of the Convolutional and fully connected (FC) layers, thus training a deep model in a low-rank format from scratch; 2) Incorporating an orthogonal regularization term into the compression process, thereby enhancing the TLOC model's representation ability to the structure of a CNN's weights; and 3) Incorporating a cyclic learning rate adjustment strategy into the training process for efficient models training. Experimental results on multiple deep networks and datasets demonstrate that the proposed TLOC model can establish highly accurate representation to a CNN without accuracy loss to its downstream tasks, thus outperforming benchmark and state-of-the-art models in implementing efficiency and accurate CNN compression.",13,1,227,229,Computer science; Convolutional neural network; Artificial intelligence; Representation (politics); Algorithm; Deep learning; Singular value decomposition; Regularization (linguistics); Artificial neural network; Benchmark (surveying); Tensor (intrinsic definition); Compression (physics); Data compression; Process (computing); Tensor decomposition; Pattern recognition (psychology); Compression ratio; Feature learning; Network model; Decomposition,,,,National Key Research and Development Program of China,,http://dx.doi.org/10.1109/jas.2025.125213,,10.1109/jas.2025.125213,,,0,007-707-133-907-647; 010-904-567-327-931; 016-363-218-076-328; 031-538-908-387-444; 032-449-042-496-712; 039-504-661-605-934; 069-116-264-651-535; 070-329-328-843-62X; 096-947-467-577-175; 103-130-325-717-852; 104-746-679-289-324; 121-670-748-261-383; 148-944-366-049-542; 149-864-852-526-523; 155-554-889-649-23X; 177-895-094-776-909; 190-120-082-474-898; 198-899-257-009-334,1,false,,
003-201-020-942-602,Query-guided multimodal learning network for anomaly detection underneath high-speed trains,,2026,journal article,Information Fusion,15662535; 18726305,Elsevier BV,Netherlands,Wei Liu; Xiaobo Lu; Yun Wei; Zhidan Ran,,126,,103530,103530,Computer science; Train; Anomaly detection; Anomaly (physics); Artificial intelligence; Machine learning; Real-time computing; Cartography; Geography; Condensed matter physics; Physics,,,,"Big Data Computing Center, Southeast University; National Natural Science Foundation of China",,http://dx.doi.org/10.1016/j.inffus.2025.103530,,10.1016/j.inffus.2025.103530,,,0,001-399-387-122-719; 006-141-481-853-685; 010-202-744-630-872; 014-755-133-962-670; 016-600-583-839-318; 020-233-013-143-936; 026-081-084-149-508; 033-483-929-502-023; 037-441-555-622-134; 040-668-061-153-838; 041-761-870-297-463; 044-481-468-007-459; 049-551-659-753-473; 056-498-995-787-801; 064-671-207-554-078; 065-042-462-210-947; 066-087-686-931-538; 068-007-656-979-960; 068-586-901-963-399; 072-299-004-405-138; 076-926-819-920-152; 082-425-420-920-806; 082-735-851-471-065; 088-056-099-618-56X; 094-102-907-176-985; 094-427-286-047-675; 101-695-056-333-628; 102-005-245-904-712; 102-215-817-780-643; 119-738-560-450-752; 146-516-041-871-403; 149-022-856-530-465; 157-263-873-732-373; 163-000-693-427-841; 172-755-514-301-007; 176-865-559-395-062; 183-585-000-211-522; 192-497-752-704-326; 196-006-587-181-897,0,false,,
